Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260615 2336;1.34042;1.34047;1.34036;1.34042;237
20260615 2339;1.34042;1.34046;1.34032;1.34039;234
20260615 2342;1.34039;1.34048;1.34036;1.34042;211
20260615 2345;1.34042;1.34051;1.34036;1.34051;267
20260615 2348;1.34051;1.34062;1.34046;1.34051;192
20260615 2351;1.34051;1.34052;1.34043;1.34049;167
20260615 2354;1.34049;1.34051;1.34029;1.3403;242
20260615 2357;1.3403;1.34035;1.34022;1.3403;264
20260616 0000;1.3403;1.34042;1.34024;1.34033;380
20260616 0003;1.34033;1.34036;1.34004;1.34004;287
20260616 0006;1.34004;1.34004;1.33994;1.33998;286
20260616 0009;1.33998;1.34003;1.33983;1.33985;351
20260616 0012;1.33985;1.33987;1.33948;1.33955;514
20260616 0015;1.33955;1.33966;1.33954;1.33962;206
20260616 0018;1.33962;1.33969;1.3394;1.33962;314
20260616 0021;1.33962;1.33963;1.33943;1.33947;273
20260616 0024;1.33947;1.33949;1.33909;1.33922;362
20260616 0027;1.33922;1.3394;1.33912;1.33939;274
20260616 0030;1.33939;1.33966;1.33927;1.33952;417
20260616 0033;1.33952;1.33961;1.33935;1.33959;404
20260616 0036;1.33959;1.33959;1.33945;1.3395;256
20260616 0039;1.3395;1.33961;1.33949;1.33958;222
20260616 0042;1.33958;1.33962;1.33953;1.33957;254
20260616 0045;1.33957;1.33964;1.33951;1.33952;325
20260616 0048;1.33952;1.33964;1.33943;1.33954;424
20260616 0051;1.33954;1.33961;1.33944;1.3395;512
20260616 0054;1.3395;1.33971;1.33945;1.33968;400
20260616 0057;1.33968;1.33975;1.33962;1.33971;414
20260616 0100;1.33971;1.33984;1.33969;1.33983;310
20260616 0103;1.33983;1.33992;1.33978;1.33984;293
20260616 0106;1.33984;1.33986;1.33979;1.33983;135
20260616 0109;1.33983;1.33992;1.33981;1.33981;290
20260616 0112;1.33981;1.33983;1.33972;1.33972;337
20260616 0115;1.33972;1.33985;1.33972;1.33979;362
20260616 0118;1.33979;1.33984;1.33971;1.33973;214
20260616 0121;1.33973;1.33985;1.33972;1.33984;248
20260616 0124;1.33984;1.33987;1.33979;1.33986;247
20260616 0127;1.33986;1.33996;1.33983;1.33994;405
20260616 0130;1.33994;1.34011;1.33987;1.33991;325
20260616 0133;1.33991;1.34005;1.3398;1.34004;360
20260616 0136;1.34004;1.34009;1.33985;1.33994;345
20260616 0139;1.33994;1.33995;1.33982;1.33984;393
20260616 0142;1.33984;1.33984;1.3396;1.33963;402
20260616 0145;1.33963;1.33972;1.33952;1.33955;400
20260616 0148;1.33955;1.33957;1.3393;1.33942;612
20260616 0151;1.33942;1.33956;1.33935;1.33936;356
20260616 0154;1.33936;1.33936;1.33924;1.33931;327
20260616 0157;1.33931;1.33933;1.33922;1.33924;260
20260616 0200;1.33924;1.33946;1.33916;1.33945;260
20260616 0203;1.33945;1.33967;1.33945;1.33966;329
20260616 0206;1.33966;1.33966;1.33919;1.33925;446
20260616 0209;1.33925;1.33942;1.33923;1.33939;466
20260616 0212;1.33939;1.33959;1.33936;1.33944;453
20260616 0215;1.33944;1.33948;1.33933;1.33936;349
20260616 0218;1.33936;1.33944;1.33918;1.33934;432
20260616 0221;1.33934;1.33936;1.33905;1.33913;398
20260616 0224;1.33913;1.33955;1.33911;1.33952;472
20260616 0227;1.33952;1.33953;1.33942;1.33943;438
20260616 0230;1.33943;1.33984;1.33935;1.33983;489
20260616 0233;1.33983;1.34032;1.33979;1.34032;1013
20260616 0236;1.34032;1.34043;1.34021;1.34031;728
20260616 0239;1.34031;1.3404;1.34019;1.34033;469
20260616 0242;1.34033;1.34033;1.33992;1.33994;532
20260616 0245;1.33994;1.34027;1.33994;1.34;433
20260616 0248;1.34;1.34031;1.33994;1.34025;496
20260616 0251;1.34025;1.3405;1.34021;1.34036;728
20260616 0254;1.34036;1.34063;1.34027;1.34055;575
20260616 0257;1.34055;1.34058;1.34046;1.34056;577
20260616 0300;1.34056;1.34062;1.34026;1.34041;781
20260616 0303;1.34041;1.34082;1.3404;1.34081;498
20260616 0306;1.34081;1.3411;1.3407;1.34091;715
20260616 0309;1.34091;1.34123;1.34082;1.34104;588
20260616 0312;1.34104;1.34106;1.34074;1.3409;883
20260616 0315;1.3409;1.34119;1.34081;1.34102;977
20260616 0318;1.34102;1.34103;1.34075;1.34083;816
20260616 0321;1.34083;1.34088;1.34065;1.34078;586
20260616 0324;1.34078;1.34092;1.3406;1.34091;602
20260616 0327;1.34091;1.34112;1.34084;1.3411;741
20260616 0330;1.3411;1.34121;1.34082;1.34082;858
20260616 0333;1.34082;1.34122;1.34074;1.34117;689
20260616 0336;1.34117;1.34123;1.34081;1.34085;855
20260616 0339;1.34085;1.34123;1.34084;1.34115;390
20260616 0342;1.34115;1.34127;1.34099;1.34114;590
20260616 0345;1.34114;1.34128;1.34109;1.34128;510
20260616 0348;1.34128;1.34134;1.34109;1.34121;656
20260616 0351;1.34121;1.34138;1.34111;1.34122;653
20260616 0354;1.34122;1.34153;1.3411;1.34139;647
20260616 0357;1.34139;1.34162;1.34135;1.34162;583
20260616 0400;1.34162;1.34169;1.3413;1.34142;620
20260616 0403;1.34142;1.3417;1.34139;1.34152;652
20260616 0406;1.34152;1.34165;1.34143;1.34152;622
20260616 0409;1.34152;1.34156;1.34132;1.34146;517
20260616 0412;1.34146;1.34185;1.34146;1.34181;839
20260616 0415;1.34181;1.34191;1.34168;1.3419;574
20260616 0418;1.3419;1.3419;1.34153;1.34154;612
20260616 0421;1.34154;1.3417;1.34141;1.34144;439
20260616 0424;1.34144;1.3419;1.34144;1.34177;568
20260616 0427;1.34177;1.34197;1.3417;1.34191;567
20260616 0430;1.34191;1.34214;1.34182;1.34188;644
20260616 0433;1.34188;1.34204;1.34179;1.34188;568
20260616 0436;1.34188;1.34188;1.34152;1.34157;585
20260616 0439;1.34157;1.34211;1.34157;1.34181;526
20260616 0442;1.34181;1.34194;1.34176;1.34188;290
20260616 0445;1.34188;1.34193;1.34174;1.34177;263
20260616 0448;1.34177;1.34195;1.3416;1.34187;409
20260616 0451;1.34187;1.3421;1.34187;1.34197;458
20260616 0454;1.34197;1.34227;1.34187;1.34227;472
20260616 0457;1.34227;1.3424;1.34223;1.34239;343
20260616 0500;1.34239;1.34253;1.34226;1.34227;336
20260616 0503;1.34227;1.34227;1.34206;1.34216;613
20260616 0506;1.34216;1.34264;1.34206;1.34263;702
20260616 0509;1.34263;1.3427;1.34245;1.34269;498
20260616 0512;1.34269;1.3427;1.34208;1.34208;697
20260616 0515;1.34208;1.3422;1.34195;1.34198;572
20260616 0518;1.34198;1.34201;1.34183;1.34192;489
20260616 0521;1.34192;1.34193;1.34157;1.3416;787
20260616 0524;1.3416;1.34172;1.34159;1.34169;636
20260616 0527;1.34169;1.34171;1.34147;1.34165;532
20260616 0530;1.34165;1.34198;1.34163;1.34193;359
20260616 0533;1.34193;1.34193;1.34181;1.34185;217
20260616 0536;1.34185;1.3419;1.34165;1.34178;403
20260616 0539;1.34178;1.3418;1.34166;1.34178;336
20260616 0542;1.34178;1.34179;1.34157;1.34161;302
20260616 0545;1.34161;1.3417;1.34147;1.34163;321
20260616 0548;1.34163;1.34171;1.3415;1.34168;324
20260616 0551;1.34168;1.34178;1.34162;1.34163;325
20260616 0554;1.34163;1.34177;1.3416;1.34169;449
20260616 0557;1.34169;1.34178;1.34153;1.34153;487
20260616 0600;1.34153;1.34176;1.34147;1.34148;469
20260616 0603;1.34148;1.34164;1.34147;1.34152;400
20260616 0606;1.34152;1.34176;1.34152;1.34159;481
20260616 0609;1.34159;1.34196;1.34159;1.34192;692
20260616 0612;1.34192;1.34219;1.34192;1.34206;508
20260616 0615;1.34206;1.34232;1.34202;1.34229;349
20260616 0618;1.34229;1.34236;1.34216;1.34227;298
20260616 0621;1.34227;1.34247;1.34221;1.34231;647
20260616 0624;1.34231;1.34242;1.34221;1.34225;485
20260616 0627;1.34225;1.3423;1.342;1.342;397
20260616 0630;1.342;1.342;1.34183;1.3419;398
20260616 0633;1.3419;1.34206;1.34189;1.34202;441
20260616 0636;1.34202;1.3421;1.34195;1.34205;467
20260616 0639;1.34205;1.34244;1.34202;1.34235;369
20260616 0642;1.34235;1.34252;1.34234;1.34249;317
20260616 0645;1.34249;1.34252;1.34237;1.34237;472
20260616 0648;1.34237;1.34239;1.34211;1.34218;503
20260616 0651;1.34218;1.34236;1.3421;1.34226;416
20260616 0654;1.34226;1.3426;1.34222;1.34249;429
20260616 0657;1.34249;1.34314;1.34246;1.34306;986
20260616 0700;1.34306;1.34306;1.34239;1.34241;1170
20260616 0703;1.34241;1.34247;1.34232;1.3424;775
20260616 0706;1.3424;1.34242;1.34216;1.34227;530
20260616 0709;1.34227;1.34227;1.34209;1.3422;548
20260616 0712;1.3422;1.3424;1.34218;1.3423;434
20260616 0715;1.3423;1.34236;1.34218;1.34232;376
20260616 0718;1.34232;1.34241;1.34227;1.3423;418
20260616 0721;1.3423;1.3424;1.34198;1.342;541
20260616 0724;1.342;1.34219;1.34194;1.34208;655
20260616 0727;1.34208;1.34226;1.34207;1.34218;546
20260616 0730;1.34218;1.3423;1.3421;1.34229;584
20260616 0733;1.34229;1.34237;1.34208;1.34208;540
20260616 0736;1.34208;1.34209;1.34182;1.34191;601
20260616 0739;1.34191;1.34193;1.34156;1.34157;506
20260616 0742;1.34157;1.34158;1.34119;1.34147;550
20260616 0745;1.34147;1.34149;1.34129;1.34132;490
20260616 0748;1.34132;1.34159;1.34126;1.34156;437
20260616 0751;1.34156;1.34158;1.34114;1.34125;376
20260616 0754;1.34125;1.34142;1.34115;1.3413;440
20260616 0757;1.3413;1.34156;1.34129;1.34153;662
20260616 0800;1.34153;1.34153;1.34117;1.3412;841
20260616 0803;1.3412;1.3412;1.34087;1.3409;563
20260616 0806;1.3409;1.34097;1.34077;1.34096;506
20260616 0809;1.34096;1.34099;1.34079;1.34088;507
20260616 0812;1.34088;1.3413;1.34088;1.34129;479
20260616 0815;1.34129;1.34138;1.34105;1.3411;437
20260616 0818;1.3411;1.34121;1.34083;1.34084;555
20260616 0821;1.34084;1.34121;1.34078;1.34116;607
20260616 0824;1.34116;1.34116;1.3408;1.34097;477
20260616 0827;1.34097;1.34108;1.3409;1.34105;396
20260616 0830;1.34105;1.34142;1.34101;1.34138;331
20260616 0833;1.34138;1.34138;1.34104;1.34109;380
20260616 0836;1.34109;1.34126;1.34097;1.34126;706
20260616 0839;1.34126;1.3414;1.34124;1.34136;403
20260616 0842;1.34136;1.3415;1.34134;1.34141;516
20260616 0845;1.34141;1.34154;1.34139;1.34141;635
20260616 0848;1.34141;1.34156;1.34127;1.34146;804
20260616 0851;1.34146;1.34172;1.34134;1.34139;797
20260616 0854;1.34139;1.34152;1.34131;1.34151;523
20260616 0857;1.34151;1.34161;1.34141;1.34158;873
20260616 0900;1.34158;1.34191;1.34154;1.34189;966
20260616 0903;1.34189;1.34189;1.34142;1.34149;897
20260616 0906;1.34149;1.34167;1.3414;1.3415;505
20260616 0909;1.3415;1.34154;1.34128;1.34135;559
20260616 0912;1.34135;1.34137;1.34108;1.34117;568
20260616 0915;1.34117;1.34119;1.34085;1.34097;642
20260616 0918;1.34097;1.34101;1.34074;1.34089;603
20260616 0921;1.34089;1.34103;1.34064;1.34092;875
20260616 0924;1.34092;1.34099;1.34079;1.34081;660
20260616 0927;1.34081;1.34101;1.34074;1.34095;872
20260616 0930;1.34095;1.34151;1.34091;1.34147;1331
20260616 0933;1.34147;1.34176;1.34137;1.34151;969
20260616 0936;1.34151;1.34181;1.34148;1.34169;858
20260616 0939;1.34169;1.3418;1.34136;1.34156;857
20260616 0942;1.34156;1.34178;1.34147;1.34151;882
20260616 0945;1.34151;1.34158;1.34117;1.34118;1039
20260616 0948;1.34118;1.34131;1.34108;1.34117;765
20260616 0951;1.34117;1.3413;1.34107;1.34108;724
20260616 0954;1.34108;1.3413;1.341;1.34118;583
20260616 0957;1.34118;1.34119;1.3409;1.34106;708
20260616 1000;1.34106;1.34162;1.341;1.34129;1051
20260616 1003;1.34129;1.3414;1.34097;1.34098;837
20260616 1006;1.34098;1.34132;1.34098;1.34114;855
20260616 1009;1.34114;1.34141;1.34106;1.34131;589
20260616 1012;1.34131;1.34151;1.3413;1.3414;493
20260616 1015;1.3414;1.3414;1.34114;1.34126;557
20260616 1018;1.34126;1.34137;1.34113;1.34136;727
20260616 1021;1.34136;1.34152;1.34132;1.3414;645
20260616 1024;1.3414;1.34146;1.34128;1.34138;630
20260616 1027;1.34138;1.34146;1.34075;1.34075;839
20260616 1030;1.34075;1.34097;1.34056;1.34078;826
20260616 1033;1.34078;1.34078;1.3403;1.34059;1007
20260616 1036;1.34059;1.34098;1.34059;1.34084;869
20260616 1039;1.34084;1.34115;1.34081;1.34115;732
20260616 1042;1.34115;1.34138;1.34098;1.34126;916
20260616 1045;1.34126;1.34161;1.34117;1.34152;888
20260616 1048;1.34152;1.34197;1.34152;1.34183;1126
20260616 1051;1.34183;1.34202;1.34182;1.34197;990
20260616 1054;1.34197;1.3427;1.34187;1.34262;1411
20260616 1057;1.34262;1.34278;1.34244;1.34275;1350
20260616 1100;1.34275;1.34282;1.34259;1.34271;1229
20260616 1103;1.34271;1.34281;1.34238;1.34248;650
20260616 1106;1.34248;1.34267;1.34217;1.34217;802
20260616 1109;1.34217;1.34225;1.34205;1.34208;883
20260616 1112;1.34208;1.34218;1.34186;1.34212;554
20260616 1115;1.34212;1.34236;1.34209;1.34221;497
20260616 1118;1.34221;1.34222;1.34207;1.34213;485
20260616 1121;1.34213;1.34223;1.34201;1.34212;684
20260616 1124;1.34212;1.34238;1.34202;1.34236;665
20260616 1127;1.34236;1.34238;1.3421;1.34215;793
20260616 1130;1.34215;1.3424;1.34197;1.34239;605
20260616 1133;1.34239;1.34264;1.34231;1.34261;826
20260616 1136;1.34261;1.34273;1.3425;1.34255;475
20260616 1139;1.34255;1.34259;1.34241;1.34243;519
20260616 1142;1.34243;1.34251;1.34226;1.34241;694
20260616 1145;1.34241;1.34249;1.34201;1.34222;910
20260616 1148;1.34222;1.34264;1.34202;1.34264;951
20260616 1151;1.34264;1.3432;1.34248;1.3432;1254
20260616 1154;1.3432;1.34394;1.3432;1.34393;1673
20260616 1157;1.34393;1.34432;1.34369;1.34375;1316
20260616 1200;1.34375;1.34385;1.34358;1.3436;877
20260616 1203;1.3436;1.34372;1.34339;1.3435;502
20260616 1206;1.3435;1.34396;1.34347;1.34378;630
20260616 1209;1.34378;1.3439;1.34369;1.34379;619
20260616 1212;1.34379;1.34398;1.34372;1.34386;706
20260616 1215;1.34386;1.344;1.34372;1.3438;594
20260616 1218;1.3438;1.34398;1.3437;1.34373;750
20260616 1221;1.34373;1.34389;1.34356;1.3436;1130
20260616 1224;1.3436;1.3437;1.34345;1.34369;570
20260616 1227;1.34369;1.34369;1.34346;1.34351;528
20260616 1230;1.34351;1.34358;1.34338;1.34346;720
20260616 1233;1.34346;1.3436;1.34329;1.34339;615
20260616 1236;1.34339;1.34349;1.3433;1.34333;581
20260616 1239;1.34333;1.34334;1.34316;1.3432;580
20260616 1242;1.3432;1.34332;1.34308;1.34313;418
20260616 1245;1.34313;1.34328;1.34308;1.34321;448
20260616 1248;1.34321;1.34323;1.34295;1.34297;426
20260616 1251;1.34297;1.34299;1.34288;1.34298;553
20260616 1254;1.34298;1.34314;1.34298;1.34307;530
20260616 1257;1.34307;1.34309;1.3429;1.34292;307
20260616 1300;1.34292;1.34293;1.34275;1.34281;718
20260616 1303;1.34281;1.34288;1.34275;1.34275;844
20260616 1306;1.34275;1.34279;1.34268;1.3427;527
20260616 1309;1.3427;1.3429;1.34269;1.34284;705
20260616 1312;1.34284;1.3429;1.34271;1.34277;890
20260616 1315;1.34277;1.3429;1.34271;1.34288;322
20260616 1318;1.34288;1.34288;1.34253;1.34255;494
20260616 1321;1.34255;1.34273;1.34248;1.34267;563
20260616 1324;1.34267;1.34279;1.34258;1.34269;463
20260616 1327;1.34269;1.34274;1.34261;1.34263;313
20260616 1330;1.34263;1.34269;1.34256;1.34258;438
20260616 1333;1.34258;1.34269;1.34253;1.34259;432
20260616 1336;1.34259;1.34261;1.34247;1.3425;254
20260616 1339;1.3425;1.34259;1.34246;1.34255;534
20260616 1342;1.34255;1.34283;1.34254;1.34276;540
20260616 1345;1.34276;1.34288;1.34273;1.34281;395
20260616 1348;1.34281;1.34286;1.34267;1.34279;370
20260616 1351;1.34279;1.34286;1.34271;1.34282;466
20260616 1354;1.34282;1.3429;1.34277;1.3428;296
20260616 1357;1.3428;1.34288;1.34272;1.34288;388
20260616 1400;1.34288;1.3432;1.34281;1.34315;462
20260616 1403;1.34315;1.34328;1.3429;1.34306;472
20260616 1406;1.34306;1.34307;1.34294;1.34299;524
20260616 1409;1.34299;1.343;1.34288;1.34292;407
20260616 1412;1.34292;1.34298;1.34283;1.34289;311
20260616 1415;1.34289;1.34291;1.34278;1.34284;491
20260616 1418;1.34284;1.34289;1.34279;1.34283;298
20260616 1421;1.34283;1.34289;1.34278;1.3428;292
20260616 1424;1.3428;1.34283;1.34273;1.34281;178
20260616 1427;1.34281;1.34291;1.34272;1.34282;433
20260616 1430;1.34282;1.34292;1.34271;1.34273;386
20260616 1433;1.34273;1.34279;1.34262;1.34266;524
20260616 1436;1.34266;1.34271;1.34264;1.34269;282
20260616 1439;1.34269;1.34269;1.34244;1.34254;344
20260616 1442;1.34254;1.34256;1.34244;1.34251;481
20260616 1445;1.34251;1.34259;1.34248;1.34253;376
20260616 1448;1.34253;1.34253;1.34235;1.34245;381
20260616 1451;1.34245;1.3426;1.34245;1.3426;252
20260616 1454;1.3426;1.34285;1.34257;1.3428;335
20260616 1457;1.3428;1.34283;1.34273;1.34283;516
20260616 1500;1.34283;1.34303;1.34282;1.34291;563
20260616 1503;1.34291;1.34323;1.3429;1.34312;550
20260616 1506;1.34312;1.34325;1.343;1.34301;482
20260616 1509;1.34301;1.3431;1.34295;1.34306;326
20260616 1512;1.34306;1.34306;1.34294;1.343;258
20260616 1515;1.343;1.34306;1.34292;1.34299;553
20260616 1518;1.34299;1.34303;1.34286;1.34293;406
20260616 1521;1.34293;1.34299;1.34289;1.34296;409
20260616 1524;1.34296;1.34302;1.34292;1.34297;374
20260616 1527;1.34297;1.34303;1.34296;1.34297;270
20260616 1530;1.34297;1.343;1.34287;1.34287;446
20260616 1533;1.34287;1.34288;1.34282;1.34285;350
20260616 1536;1.34285;1.34292;1.34265;1.34268;390
20260616 1539;1.34268;1.34283;1.34268;1.34279;406
20260616 1542;1.34279;1.3428;1.34261;1.34262;394
20260616 1545;1.34262;1.34268;1.34254;1.34258;442
20260616 1548;1.34258;1.34267;1.34243;1.34244;735
20260616 1551;1.34244;1.34253;1.3424;1.34248;638
20260616 1554;1.34248;1.3425;1.34219;1.3423;919
20260616 1557;1.3423;1.34242;1.34223;1.34237;723
20260616 1600;1.34237;1.34237;1.34221;1.34224;488
20260616 1603;1.34224;1.34233;1.34218;1.34233;256
20260616 1606;1.34233;1.34234;1.34228;1.34231;186
20260616 1609;1.34231;1.34232;1.34226;1.3423;232
20260616 1612;1.3423;1.34231;1.34221;1.34229;255
20260616 1615;1.34229;1.3424;1.34229;1.34239;98
20260616 1618;1.34239;1.34251;1.34237;1.3425;160
20260616 1621;1.3425;1.34251;1.34248;1.34251;56
20260616 1624;1.34251;1.34255;1.34246;1.3425;102
20260616 1627;1.3425;1.34261;1.3425;1.34255;82
20260616 1630;1.34255;1.3426;1.34239;1.34239;130
20260616 1633;1.34239;1.34242;1.34235;1.3424;91
20260616 1636;1.3424;1.34246;1.34236;1.34241;103
20260616 1639;1.34241;1.34247;1.34238;1.3424;104
20260616 1642;1.3424;1.34249;1.34238;1.34243;163
20260616 1645;1.34243;1.34243;1.34236;1.3424;100
20260616 1648;1.3424;1.34242;1.34237;1.34239;97
20260616 1651;1.34239;1.34253;1.34239;1.34252;153
20260616 1654;1.34252;1.34263;1.34243;1.34263;127
20260616 1657;1.34263;1.34269;1.34253;1.34259;458
20260616 1700;1.34259;1.34259;1.34192;1.34206;5
20260616 1703;1.34206;1.34289;1.34202;1.34217;74
20260616 1706;1.34217;1.34237;1.34216;1.34233;40
20260616 1709;1.34233;1.34238;1.34231;1.34238;36
20260616 1712;1.34238;1.34239;1.34194;1.34216;147
20260616 1715;1.34216;1.34233;1.34194;1.34204;164
20260616 1718;1.34204;1.34208;1.34186;1.34188;37
20260616 1721;1.34188;1.34188;1.34186;1.34188;14
20260616 1724;1.34188;1.34195;1.34188;1.3419;20
20260616 1727;1.3419;1.34245;1.34186;1.34239;102
20260616 1730;1.34239;1.34246;1.34239;1.34243;88
20260616 1733;1.34243;1.34247;1.34192;1.34205;183
20260616 1736;1.34205;1.34212;1.34194;1.34197;147
20260616 1739;1.34197;1.34205;1.34194;1.34195;180
20260616 1742;1.34195;1.342;1.34192;1.34192;140
20260616 1745;1.34192;1.34208;1.3418;1.34207;122
20260616 1748;1.34207;1.34217;1.34189;1.34203;435
20260616 1751;1.34203;1.34234;1.34193;1.34198;74
20260616 1754;1.34198;1.34227;1.34198;1.34214;596
20260616 1757;1.34214;1.34248;1.34179;1.34246;625
20260616 1800;1.34246;1.34271;1.34246;1.34265;189
20260616 1803;1.34265;1.34273;1.34263;1.34271;121
20260616 1806;1.34271;1.34273;1.34266;1.34271;98
20260616 1809;1.34271;1.34278;1.34264;1.34276;74
20260616 1812;1.34276;1.34276;1.34265;1.34271;57
20260616 1815;1.34271;1.34272;1.34265;1.34269;17
20260616 1818;1.34269;1.34269;1.34262;1.34267;76
20260616 1821;1.34267;1.34272;1.34262;1.34271;52
20260616 1824;1.34271;1.34274;1.34266;1.34267;149
20260616 1827;1.34267;1.34271;1.34266;1.34268;107
20260616 1830;1.34268;1.34272;1.34267;1.34272;113
20260616 1833;1.34272;1.34274;1.3427;1.34272;139
20260616 1836;1.34272;1.34273;1.34268;1.3427;117
20260616 1839;1.3427;1.34274;1.3427;1.34271;87
20260616 1842;1.34271;1.34276;1.3427;1.34274;180
20260616 1845;1.34274;1.34278;1.34273;1.34276;113
20260616 1848;1.34276;1.34281;1.3427;1.34279;81
20260616 1851;1.34279;1.34282;1.34274;1.34276;84
20260616 1854;1.34276;1.34278;1.34272;1.34277;52
20260616 1857;1.34277;1.34279;1.34276;1.34276;54
20260616 1900;1.34276;1.34277;1.34272;1.34275;45
20260616 1903;1.34275;1.34286;1.34275;1.34283;104
20260616 1906;1.34283;1.34302;1.34282;1.34298;135
20260616 1909;1.34298;1.34298;1.34293;1.34296;72
20260616 1912;1.34296;1.34296;1.34289;1.34295;50
20260616 1915;1.34295;1.34296;1.34292;1.34295;98
20260616 1918;1.34295;1.34301;1.34284;1.34299;139
20260616 1921;1.34299;1.34301;1.34288;1.34291;207
20260616 1924;1.34291;1.34301;1.3429;1.34299;162
20260616 1927;1.34299;1.34304;1.34297;1.34302;186
20260616 1930;1.34302;1.34303;1.34295;1.34299;417
20260616 1933;1.34299;1.34299;1.34287;1.34287;209
20260616 1936;1.34287;1.3429;1.34276;1.34278;169
20260616 1939;1.34278;1.3428;1.34277;1.3428;87
20260616 1942;1.3428;1.3428;1.34277;1.34279;85
20260616 1945;1.34279;1.34286;1.34277;1.34281;200
20260616 1948;1.34281;1.34289;1.34268;1.3427;432
20260616 1951;1.3427;1.3427;1.34262;1.34268;123
20260616 1954;1.34268;1.34268;1.34257;1.3426;309
20260616 1957;1.3426;1.34261;1.34246;1.3425;221
20260616 2000;1.3425;1.3426;1.34236;1.34253;2056
20260616 2003;1.34253;1.34269;1.34253;1.34257;1532
20260616 2006;1.34257;1.34292;1.34257;1.34288;1799
20260616 2009;1.34288;1.34296;1.34286;1.34291;2467
20260616 2012;1.34291;1.34305;1.34286;1.34295;1214
20260616 2015;1.34295;1.34308;1.34295;1.34307;1353
20260616 2018;1.34307;1.34315;1.34299;1.34307;1579
20260616 2021;1.34307;1.34309;1.34295;1.34297;1450
20260616 2024;1.34297;1.34308;1.34296;1.34305;1553
20260616 2027;1.34305;1.34321;1.34301;1.34303;988
20260616 2030;1.34303;1.34315;1.34298;1.34302;1584
20260616 2033;1.34302;1.3431;1.343;1.34307;897
20260616 2036;1.34307;1.34315;1.34301;1.34304;461
20260616 2039;1.34304;1.34311;1.34298;1.34311;815
20260616 2042;1.34311;1.34312;1.34305;1.34308;1227
20260616 2045;1.34308;1.34308;1.34292;1.34303;1460
20260616 2048;1.34303;1.34305;1.34278;1.34279;642
20260616 2051;1.34279;1.34296;1.34276;1.3429;458
20260616 2054;1.3429;1.34292;1.34272;1.34277;492
20260616 2057;1.34277;1.34303;1.34275;1.34302;302
20260616 2100;1.34302;1.34307;1.34289;1.34305;538
20260616 2103;1.34305;1.34316;1.34303;1.34316;484
20260616 2106;1.34316;1.34331;1.34314;1.34329;341
20260616 2109;1.34329;1.34336;1.3431;1.34317;355
20260616 2112;1.34317;1.34324;1.34307;1.34309;326
20260616 2115;1.34309;1.34309;1.34299;1.34309;382
20260616 2118;1.34309;1.34313;1.34299;1.34312;231
20260616 2121;1.34312;1.34316;1.34307;1.3431;216
20260616 2124;1.3431;1.34311;1.34303;1.34307;221
20260616 2127;1.34307;1.34312;1.34297;1.34297;276
20260616 2130;1.34297;1.343;1.34274;1.34279;319
20260616 2133;1.34279;1.34293;1.34278;1.34289;335
20260616 2136;1.34289;1.34291;1.34283;1.34285;190
20260616 2139;1.34285;1.34298;1.34281;1.34298;266
20260616 2142;1.34298;1.34307;1.34294;1.34306;224
20260616 2145;1.34306;1.34318;1.34301;1.34301;266
20260616 2148;1.34301;1.34301;1.34286;1.34292;211
20260616 2151;1.34292;1.34296;1.34286;1.34287;131
20260616 2154;1.34287;1.34294;1.34263;1.34277;372
20260616 2157;1.34277;1.34285;1.34266;1.34266;464
20260616 2200;1.34266;1.34274;1.34253;1.3427;513
20260616 2203;1.3427;1.3427;1.34254;1.34259;156
20260616 2206;1.34259;1.34268;1.34255;1.34267;114
20260616 2209;1.34267;1.34269;1.34256;1.34262;206
20260616 2212;1.34262;1.34269;1.3426;1.34267;244
20260616 2215;1.34267;1.34278;1.3426;1.34268;209
20260616 2218;1.34268;1.34289;1.34268;1.34289;276
20260616 2221;1.34289;1.34306;1.34288;1.34303;271
20260616 2224;1.34303;1.34315;1.34303;1.3431;222
20260616 2227;1.3431;1.34311;1.343;1.34309;191
20260616 2230;1.34309;1.34311;1.34296;1.34304;238
20260616 2233;1.34304;1.34306;1.34286;1.34289;290
20260616 2236;1.34289;1.34291;1.34287;1.34289;222
20260616 2239;1.34289;1.34301;1.34284;1.34298;170
20260616 2242;1.34298;1.34301;1.34295;1.34295;180
20260616 2245;1.34295;1.34296;1.34278;1.34281;318
20260616 2248;1.34281;1.34292;1.3428;1.34289;290
20260616 2251;1.34289;1.34289;1.34278;1.34278;262
20260616 2254;1.34278;1.3428;1.34268;1.34273;205
20260616 2257;1.34273;1.34276;1.34255;1.34256;228
20260616 2300;1.34256;1.3427;1.34256;1.34264;216
20260616 2303;1.34264;1.34266;1.34247;1.34255;242
20260616 2306;1.34255;1.34269;1.34255;1.34267;149
20260616 2309;1.34267;1.3428;1.34266;1.34278;216
20260616 2312;1.34278;1.34279;1.34264;1.34269;188
20260616 2315;1.34269;1.34269;1.34253;1.34253;396
20260616 2318;1.34253;1.34266;1.3425;1.34261;286
20260616 2321;1.34261;1.34269;1.34261;1.34267;207
20260616 2324;1.34267;1.34269;1.34264;1.34268;144
20260616 2327;1.34268;1.34273;1.34264;1.34267;169
