Date,Message
"====================================
Chart Info: FX:GBPUSD
Timeframe: 3 Minute(s)
Timezone: America/New_York
Start Date: 2026-05-10 17:00 (Actual)
End Date: Last Candle
Data Format: YYYYMMDD HHMM;Open;High;Low;Close;Volume
===================================="
20260511 0003;1.35894;1.35903;1.35888;1.35888;275
20260511 0006;1.35888;1.35898;1.35887;1.35898;218
20260511 0009;1.35898;1.35899;1.35889;1.35894;230
20260511 0012;1.35894;1.35896;1.35885;1.35895;133
20260511 0015;1.35895;1.35898;1.35893;1.35898;170
20260511 0018;1.35898;1.35902;1.35893;1.35895;117
20260511 0021;1.35895;1.35896;1.35877;1.35887;159
20260511 0024;1.35887;1.35899;1.35885;1.35889;169
20260511 0027;1.35889;1.35898;1.35884;1.35887;359
20260511 0030;1.35887;1.35896;1.35878;1.3589;209
20260511 0033;1.3589;1.3589;1.3588;1.35887;141
20260511 0036;1.35887;1.3589;1.35881;1.35883;192
20260511 0039;1.35883;1.35884;1.35854;1.35855;287
20260511 0042;1.35855;1.35862;1.3585;1.3585;183
20260511 0045;1.3585;1.35851;1.35846;1.3585;113
20260511 0048;1.3585;1.35852;1.35845;1.3585;184
20260511 0051;1.3585;1.3585;1.3583;1.3583;277
20260511 0054;1.3583;1.35836;1.35805;1.35808;213
20260511 0057;1.35808;1.35823;1.35792;1.3581;351
20260511 0100;1.3581;1.35841;1.35807;1.35836;346
20260511 0103;1.35836;1.35852;1.3583;1.35851;212
20260511 0106;1.35851;1.35851;1.35837;1.3584;258
20260511 0109;1.3584;1.35848;1.35838;1.35839;213
20260511 0112;1.35839;1.35868;1.35837;1.3586;217
20260511 0115;1.3586;1.35873;1.35858;1.35868;205
20260511 0118;1.35868;1.35869;1.35857;1.35868;219
20260511 0121;1.35868;1.35879;1.35865;1.35877;257
20260511 0124;1.35877;1.35886;1.35869;1.35874;293
20260511 0127;1.35874;1.35876;1.35859;1.35859;243
20260511 0130;1.35859;1.35862;1.35853;1.35861;314
20260511 0133;1.35861;1.35868;1.35858;1.35861;247
20260511 0136;1.35861;1.35861;1.35825;1.35828;287
20260511 0139;1.35828;1.35841;1.35814;1.35838;259
20260511 0142;1.35838;1.35848;1.35827;1.3583;337
20260511 0145;1.3583;1.35838;1.35809;1.3581;427
20260511 0148;1.3581;1.35818;1.35798;1.35816;304
20260511 0151;1.35816;1.35824;1.35804;1.3581;314
20260511 0154;1.3581;1.35847;1.35805;1.35829;357
20260511 0157;1.35829;1.35841;1.35829;1.35838;268
20260511 0200;1.35838;1.35876;1.35838;1.35859;729
20260511 0203;1.35859;1.35891;1.35859;1.35881;548
20260511 0206;1.35881;1.35891;1.35862;1.35888;501
20260511 0209;1.35888;1.35932;1.35882;1.3592;486
20260511 0212;1.3592;1.35945;1.35917;1.35919;558
20260511 0215;1.35919;1.35919;1.35887;1.35891;553
20260511 0218;1.35891;1.35891;1.35837;1.35856;674
20260511 0221;1.35856;1.35866;1.35807;1.35811;726
20260511 0224;1.35811;1.35839;1.35806;1.35828;486
20260511 0227;1.35828;1.35866;1.35806;1.35861;521
20260511 0230;1.35861;1.35907;1.35849;1.35886;502
20260511 0233;1.35886;1.35928;1.35886;1.35909;473
20260511 0236;1.35909;1.35924;1.35897;1.35916;289
20260511 0239;1.35916;1.35932;1.35906;1.35907;416
20260511 0242;1.35907;1.35933;1.35906;1.35926;409
20260511 0245;1.35926;1.35926;1.35895;1.35914;407
20260511 0248;1.35914;1.35921;1.35887;1.35901;321
20260511 0251;1.35901;1.35936;1.35898;1.35926;379
20260511 0254;1.35926;1.35961;1.35918;1.35958;475
20260511 0257;1.35958;1.35989;1.35955;1.35987;676
20260511 0300;1.35987;1.36027;1.35986;1.35997;1044
20260511 0303;1.35997;1.35999;1.35963;1.35969;626
20260511 0306;1.35969;1.36017;1.35969;1.36008;457
20260511 0309;1.36008;1.36026;1.3597;1.36005;586
20260511 0312;1.36005;1.36016;1.35993;1.35994;322
20260511 0315;1.35994;1.3602;1.35986;1.36017;375
20260511 0318;1.36017;1.36017;1.35987;1.35996;314
20260511 0321;1.35996;1.36009;1.35978;1.36005;393
20260511 0324;1.36005;1.36028;1.35996;1.36017;377
20260511 0327;1.36017;1.36036;1.36002;1.36004;574
20260511 0330;1.36004;1.36014;1.35978;1.35991;498
20260511 0333;1.35991;1.36003;1.3598;1.35986;416
20260511 0336;1.35986;1.36015;1.35986;1.36007;348
20260511 0339;1.36007;1.36027;1.36006;1.36018;647
20260511 0342;1.36018;1.36019;1.36002;1.36009;367
20260511 0345;1.36009;1.36019;1.35997;1.36009;301
